model,features,ST_RAE,RMSE,R2,Spearman
xgb,both,0.8318694304521398,0.776440554862838,0.31763378013000265,0.5495725298879797
lgbm,both,0.8587232902821856,0.7804075058266191,0.3119728122170581,0.5439936158168481
hgb,descr,0.8800589577870306,0.7958545536458365,0.2871322107649755,0.5144513085501912
lgbm,fp,1.0352078108413911,0.8728341970443064,0.1475769424965843,0.4223025270630474
